"","id","phase","date","site","bait_take","species","prints_count","raven_visit_1_pa","raven_visit_1_time","raven_visit_2_pa","raven_visit_2_time","raven_visit_3_pa","raven_visit_3_time","fox_visit_1_pa","fox_visit_1_time","fox_visit_2_pa","fox_visit_2_time","fox_visit_3_pa","fox_visit_3_time","fox_visit_4_pa","fox_visit_4_time","fox_visit_5_pa","fox_visit_5_time","treatment","foxes","ravens","bait_notes","bait_yes","day_of_week","minimum_temperature_c","maximum_temperature_c","rainfall_mm","speed_of_maximum_wind_gust_km_h","fox_visit_pa","fox_visit_n","raven_visit_pa","raven_visit_n","study_day"
"115",117,"1",2024-01-17,"F10",1,"Raven",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"116",118,"1",2024-01-17,"F11",1,"Raven",NA,1,-2209039260,1,-2209045620,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,1,2,3
"117",119,"1",2024-01-17,"F12",1,"Raven",NA,1,-2209049700,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,1,1,3
"118",120,"1",2024-01-17,"F02",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"119",121,"1",2024-01-17,"F03",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"120",122,"1",2024-01-17,"F07",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"121",123,"1",2024-01-17,"F13",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"122",124,"1",2024-01-17,"F15",1,"Unknown",NA,0,NA,0,NA,0,NA,1,0.139583333333333,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,1,1,0,0,3
"123",125,"1",2024-01-17,"F27",1,"Unknown",NA,0,NA,0,NA,0,NA,1,0.756944444444445,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,1,1,0,0,3
"124",126,"1",2024-01-17,"F28",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"125",127,"1",2024-01-17,"F29",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"126",128,"1",2024-01-17,"F56",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"127",129,"1",2024-01-17,"F32",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Wednesday",13.9,22.6,2.6,41,0,0,0,0,3
"128",130,"1",2024-01-18,"F05",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"129",131,"1",2024-01-18,"F15",0,"Fox",0,0,NA,0,NA,0,NA,1,0.025,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"No","Thursday",17.4,24.7,7.8,50,1,1,0,0,4
"130",132,"1",2024-01-18,"F16",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"131",133,"1",2024-01-18,"F23",1,"Fox",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"132",134,"1",2024-01-18,"F24",1,"Fox",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"133",135,"1",2024-01-18,"F29",1,"Fox",0,0,NA,0,NA,0,NA,1,0.816666666666667,1,-2209070040,1,-2209066740,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,1,3,0,0,4
"134",136,"1",2024-01-18,"F30",1,"Fox",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"135",137,"1",2024-01-18,"F31",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"136",138,"1",2024-01-18,"F35",1,"Fox",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"137",139,"1",2024-01-18,"F52",1,"Fox",0,0,NA,0,NA,0,NA,1,0.802777777777778,1,-2209002300,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,1,2,0,0,4
"138",140,"1",2024-01-18,"F53",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"139",141,"1",2024-01-18,"F56",1,"Fox",1,0,NA,0,NA,0,NA,1,0.855555555555556,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,1,1,0,0,4
"140",143,"1",2024-01-18,"F04",1,"Unknown",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"141",144,"1",2024-01-18,"F13",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"142",145,"1",2024-01-18,"F14",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"143",146,"1",2024-01-18,"F18",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"144",147,"1",2024-01-18,"F19",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"145",148,"1",2024-01-18,"F20",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"146",149,"1",2024-01-18,"F21",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"147",150,"1",2024-01-18,"F22",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"148",151,"1",2024-01-18,"F25",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"149",152,"1",2024-01-18,"F26",1,"Unknown",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"150",153,"1",2024-01-18,"F27",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"151",154,"1",2024-01-18,"F34",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"152",155,"1",2024-01-18,"F40",1,"Unknown",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"153",156,"1",2024-01-18,"F48",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"154",157,"1",2024-01-18,"F54",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"155",158,"1",2024-01-18,"F55",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"156",159,"1",2024-01-18,"F58",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"157",160,"1",2024-01-18,"F02",1,"Raven",0,1,-2209007580,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,1,1,4
"158",161,"1",2024-01-18,"F06",1,"Raven",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"159",162,"1",2024-01-18,"F08",1,"Raven",0,1,-2209015680,1,-2209006680,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,1,2,4
"160",163,"1",2024-01-18,"F09",1,"Raven",1,0,NA,0,NA,0,NA,1,0.882638888888889,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Thursday",17.4,24.7,7.8,50,1,1,0,0,4
"161",164,"1",2024-01-18,"F12",1,"Raven",0,1,-2209040520,0,NA,0,NA,1,0.297916666666667,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Thursday",17.4,24.7,7.8,50,1,1,1,1,4
"162",165,"1",2024-01-18,"F17",1,"Raven",0,1,-2209051860,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,1,1,4
"163",166,"1",2024-01-18,"F57",1,"Raven",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"164",168,"1",2024-01-18,"F03",1,"Unknown",2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"165",169,"1",2024-01-18,"F07",1,"Unknown",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"166",170,"1",2024-01-18,"F11",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"167",171,"1",2024-01-18,"F28",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"168",172,"1",2024-01-18,"F32",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Thursday",17.4,24.7,7.8,50,0,0,0,0,4
"169",216,"2",2024-01-22,"F23",1,"Fox",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"170",217,"2",2024-01-22,"F24",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"171",218,"2",2024-01-22,"F25",1,"Fox",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"172",219,"2",2024-01-22,"F31",1,"Fox",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"173",220,"2",2024-01-22,"F53",1,"Fox",1,0,NA,0,NA,0,NA,1,0.983333333333333,1,-2209074780,1,-2209069620,1,-2209057680,0,NA,"Control",1,NA,NA,"Yes","Monday",11.7,25.9,0,44,1,4,0,0,8
"174",221,"2",2024-01-22,"F03",0,"Not taken",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"175",222,"2",2024-01-22,"F13",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"176",223,"2",2024-01-22,"F18",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"177",224,"2",2024-01-22,"F19",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"178",225,"2",2024-01-22,"F20",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"179",226,"2",2024-01-22,"F21",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"180",227,"2",2024-01-22,"F22",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"181",228,"2",2024-01-22,"F40",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"182",229,"2",2024-01-22,"F48",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"183",230,"2",2024-01-22,"F54",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"184",231,"2",2024-01-22,"F55",1,"Unknown",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"185",232,"2",2024-01-22,"F57",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"186",233,"2",2024-01-22,"F58",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Monday",11.7,25.9,0,44,0,0,0,0,8
"187",234,"2",2024-01-22,"F02",1,"Raven",0,1,-2209038780,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Monday",11.7,25.9,0,44,0,0,1,1,8
"188",235,"2",2024-01-22,"F04",1,"Raven",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"189",236,"2",2024-01-22,"F09",1,"Raven",1,1,-2209030020,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,NA,"Yes","Monday",11.7,25.9,0,44,0,0,1,1,8
"190",237,"2",2024-01-22,"F12",1,"Raven",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"191",238,"2",2024-01-22,"F16",1,"Raven",NA,0,NA,0,NA,0,NA,1,0.0416666666666667,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Monday",11.7,25.9,0,44,1,1,0,0,8
"192",239,"2",2024-01-22,"F17",1,"Raven",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,1,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"193",240,"2",2024-01-22,"F26",1,"Raven",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,1,"PE","Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"194",241,"2",2024-01-22,"F01",1,"Unknown",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"195",242,"2",2024-01-22,"F05",1,"Unknown",2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"196",243,"2",2024-01-22,"F06",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"197",244,"2",2024-01-22,"F07",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"198",245,"2",2024-01-22,"F08",1,"Unknown",NA,1,-2209009320,0,NA,0,NA,1,0.971527777777778,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,1,1,1,1,8
"199",246,"2",2024-01-22,"F10",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"200",247,"2",2024-01-22,"F11",1,"Unknown",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,"PE","Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"201",248,"2",2024-01-22,"F14",1,"Unknown",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,"PE","Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"202",249,"2",2024-01-22,"F15",1,"Unknown",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,"PE","Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"203",250,"2",2024-01-22,"F27",1,"Unknown",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"204",251,"2",2024-01-22,"F28",1,"Unknown",1,0,NA,0,NA,0,NA,1,0.825,1,-2209056000,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,1,2,0,0,8
"205",252,"2",2024-01-22,"F29",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"206",253,"2",2024-01-22,"F30",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"207",254,"2",2024-01-22,"F32",1,"Unknown",NA,0,NA,0,NA,0,NA,1,0.888888888888889,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,1,1,0,0,8
"208",255,"2",2024-01-22,"F34",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"209",256,"2",2024-01-22,"F35",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"210",257,"2",2024-01-22,"F52",1,"Unknown",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"211",258,"2",2024-01-22,"F56",1,"Unknown",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"Yes","Monday",11.7,25.9,0,44,0,0,0,0,8
"212",259,"2",2024-01-23,"F05",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"213",260,"2",2024-01-23,"F12",1,"Fox",2,0,NA,0,NA,0,NA,1,0.927083333333333,1,-2209066800,1,-2209059840,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",14.9,26.7,0,30,1,3,0,0,9
"214",261,"2",2024-01-23,"F22",1,"Fox",1,0,NA,0,NA,0,NA,1,0.223611111111111,1,-2209053180,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",14.9,26.7,0,30,1,2,0,0,9
"215",262,"2",2024-01-23,"F29",1,"Fox",3,0,NA,0,NA,0,NA,1,0.958333333333333,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Tuesday",14.9,26.7,0,30,1,1,0,0,9
"216",263,"2",2024-01-23,"F30",1,"Fox",1,0,NA,0,NA,0,NA,1,0.0402777777777778,0,NA,0,NA,0,NA,0,NA,"Treatment",1,NA,NA,"Yes","Tuesday",14.9,26.7,0,30,1,1,0,0,9
"217",264,"2",2024-01-23,"F35",1,"Fox",NA,0,NA,0,NA,0,NA,1,0.393055555555556,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",14.9,26.7,0,30,1,1,0,0,9
"218",265,"2",2024-01-23,"F52",1,"Fox",2,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"219",266,"2",2024-01-23,"F53",1,"Fox",1,0,NA,0,NA,0,NA,1,0.886111111111111,1,-2208997620,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",14.9,26.7,0,30,1,2,0,0,9
"220",267,"2",2024-01-23,"F55",1,"Fox",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",1,NA,NA,"Yes","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"221",268,"2",2024-01-23,"F10",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"222",269,"2",2024-01-23,"F13",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"223",270,"2",2024-01-23,"F14",0,"Not taken",0,0,NA,0,NA,0,NA,1,0.866666666666667,1,-2208994560,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",14.9,26.7,0,30,1,2,0,0,9
"224",271,"2",2024-01-23,"F15",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"225",272,"2",2024-01-23,"F16",0,"Not taken",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"226",273,"2",2024-01-23,"F17",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"227",274,"2",2024-01-23,"F18",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"228",275,"2",2024-01-23,"F19",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"229",276,"2",2024-01-23,"F20",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Treatment",NA,NA,NA,"No","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"230",277,"2",2024-01-23,"F21",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Tuesday",14.9,26.7,0,30,0,0,0,0,9
"231",278,"2",2024-01-23,"F23",0,"Not taken",0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"Control",NA,NA,NA,"No","Tuesday",14.9,26.7,0,30,0,0,0,0,9
